,O_Day_7_Control_C,F_Day_0_Control_D,O_Day_7_Control_A,O_Day_0_Control_E,F_Day_7_Control_C,F_Day_3_Control_B,O_Day_0_Control_A,F_Day_3_Control_A,O_Day_3_Control_D,F_Day_7_Control_D,O_Day_3_Control_E,O_Day_0_Control_C,F_Day_3_Control_C,F_Day_7_Control_A,O_Day_3_Control_B,O_Day_0_Control_B,F_Day_7_Control_B,O_Day_7_Control_D,O_Day_7_Control_B,F_Day_0_Control_E,F_Day_3_Control_E,F_Day_0_Control_A,O_Day_3_Control_A,O_Day_3_Control_C,F_Day_7_Control_E,F_Day_3_Control_D,F_Day_0_Control_C,Group
O_Day_7_Control_C,0.0,0.9146666150185502,0.8804114262522014,0.8613969465719311,0.906339315687038,0.9116765625102004,0.8344558211554648,0.9107980110875741,0.8713826769798083,0.9052368630596644,0.8358952439737389,0.7735083708211938,0.919958294952646,0.9027243691996487,0.7955485885222329,0.8089322217081134,0.9162967391806471,0.6571539378669992,0.7719019053429936,0.8945127818614357,0.9130728191585956,0.8953284328793878,0.7850181315764702,0.8355787021753068,0.9091867237678269,0.9081313460963576,0.9098862644157728,post_oral
F_Day_0_Control_D,0.9146666150185502,0.0,0.9481659645478708,0.9534354399235205,0.46678713943991973,0.3840344241708609,0.9779106558508651,0.35723655461863346,0.9333174583346446,0.3613228618170249,0.6359668744327341,0.930384894025569,0.34234257034855065,0.39194147402518137,0.6498266626831211,0.9879482495438366,0.37921084500184504,0.8689090219447764,0.8470758943881448,0.4772691005289993,0.3932545290118003,0.3339361216605003,0.8027285538093961,0.7600305815560846,0.4310555948042491,0.2888210578647468,0.39662903532663774,pre_fecal
O_Day_7_Control_A,0.8804114262522014,0.9481659645478708,0.0,0.7188879441100295,0.9473122789360007,0.9466092430102611,0.482078616136682,0.9463120473143111,0.9263852034455239,0.9512107063134467,0.90748966008674,0.718403004007925,0.9552174984425895,0.9383803655687072,0.6867422380173195,0.6069072336849243,0.9471003344266526,0.7322303377204451,0.4299625118559427,0.9478918427383147,0.9471084957468441,0.9436075646665303,0.8102751487081853,0.7670172086194958,0.9420463522423055,0.9510684075000982,0.9483324449174245,post_oral
O_Day_0_Control_E,0.8613969465719311,0.9534354399235205,0.7188879441100295,0.0,0.9411110930199114,0.94608966540163,0.6196823405404972,0.9518298281394081,0.6242995998185843,0.9516295694944167,0.7758248139263672,0.4334470834079028,0.9592957646849838,0.9413596047611628,0.655171460208305,0.5626268553569727,0.9502336642290636,0.756716529510361,0.6951103403636122,0.9043046634122721,0.9455815289581145,0.9335348724624368,0.7274584100019957,0.518310047746772,0.9417067932016658,0.9488144067175296,0.9445752822840824,pre_oral
F_Day_7_Control_C,0.906339315687038,0.46678713943991973,0.9473122789360007,0.9411110930199114,0.0,0.4555745207333558,0.9744680532478771,0.4561672568043747,0.9569153219937171,0.47822688680862824,0.6871200560582185,0.9133029559465888,0.3767631784495083,0.4134606520711409,0.6692312953395886,0.97783801993108,0.44199431918300575,0.8651880099353046,0.852748749055614,0.5457690136450531,0.48886750045235633,0.41903105215069436,0.7869835608366724,0.6887285694282279,0.49763723980169977,0.4477949023292661,0.44851210531536845,post_fecal
F_Day_3_Control_B,0.9116765625102004,0.3840344241708609,0.9466092430102611,0.94608966540163,0.4555745207333558,0.0,0.972047723537672,0.4132309503352415,0.9541990550551943,0.3078962843831229,0.6695766406119317,0.9189299082701541,0.4003596699220378,0.2198087548278338,0.6176805497535287,0.9811376559591984,0.2072130904171488,0.870668326623898,0.8427784086080274,0.2809434697389994,0.29800295358606027,0.23711458281376963,0.7835607894005999,0.7241362006301654,0.5136256155053726,0.42020633156659554,0.23169032492634473,post_fecal
O_Day_0_Control_A,0.8344558211554648,0.9779106558508651,0.482078616136682,0.6196823405404972,0.9744680532478771,0.972047723537672,0.0,0.9764467023546609,0.8114553411427485,0.9801434158583938,0.8254206686141455,0.6324259435800739,0.9909955536990817,0.9696309555259379,0.6324469171980777,0.5596651326578579,0.9835561419631077,0.5669794890032347,0.5416479478747194,0.9342751672776858,0.9731801388261786,0.9562667555612904,0.7272937226791928,0.6840500920319136,0.9662885406411406,0.9714079918746016,0.9747369086338443,pre_oral
F_Day_3_Control_A,0.9107980110875741,0.35723655461863346,0.9463120473143111,0.9518298281394081,0.4561672568043747,0.4132309503352415,0.9764467023546609,0.0,0.9653051044367011,0.4590407699069686,0.6395694815552794,0.9278498991509094,0.3430629902699078,0.4047579121394178,0.626668656635163,0.984894675939827,0.3969812495185872,0.8785768921758822,0.8501356889480162,0.5523138665246212,0.4039610745722341,0.39526200157077407,0.779724734265131,0.7397801470249559,0.4187221110361181,0.3689517665149852,0.4494288459068841,post_fecal
O_Day_3_Control_D,0.8713826769798083,0.9333174583346446,0.9263852034455239,0.6242995998185843,0.9569153219937171,0.9541990550551943,0.8114553411427485,0.9653051044367011,0.0,0.9297238117825122,0.8095584261946889,0.6253169627809372,0.9727250855547457,0.946465734259715,0.7486435330455844,0.7093531788406441,0.959409584258013,0.8618465767030549,0.9019200272245657,0.8998000529138322,0.9549830252883804,0.9283687476239786,0.8274634553397656,0.6959584436285846,0.9532238109224745,0.9104511898203279,0.9551245662969466,post_oral
F_Day_7_Control_D,0.9052368630596644,0.3613228618170249,0.9512107063134467,0.9516295694944167,0.47822688680862824,0.3078962843831229,0.9801434158583938,0.4590407699069686,0.9297238117825122,0.0,0.7096241589883437,0.9282839891932112,0.44677941506326196,0.27139065745837204,0.7049040989433424,0.9814449821512572,0.3897686035096157,0.8650763693348908,0.8663201675665215,0.36490177716919353,0.376629238478751,0.2919880567213051,0.8017296726321723,0.7457470166001003,0.5715280563429207,0.308431217120413,0.3136408104397384,post_fecal
O_Day_3_Control_E,0.8358952439737389,0.6359668744327341,0.90748966008674,0.7758248139263672,0.6871200560582185,0.6695766406119317,0.8254206686141455,0.6395694815552794,0.8095584261946889,0.7096241589883437,0.0,0.7504061972605554,0.6999533948448359,0.6598709636313079,0.5470250213920139,0.8366253244752822,0.6501992938172885,0.7736589956347635,0.765996305400688,0.6600557450148251,0.6188651879055759,0.6543988705396748,0.6517662753753262,0.6035879180424765,0.5116993540383825,0.7077390586470864,0.6921006048482683,post_oral
O_Day_0_Control_C,0.7735083708211938,0.930384894025569,0.718403004007925,0.4334470834079028,0.9133029559465888,0.9189299082701541,0.6324259435800739,0.9278498991509094,0.6253169627809372,0.9282839891932112,0.7504061972605554,0.0,0.9322126505615188,0.9112193905356722,0.49451146752913133,0.5035165801378874,0.9225252546020629,0.6788210916098002,0.6765130267397016,0.8784627127776059,0.9182726576942714,0.9054049128772256,0.682523304083452,0.3990751826303434,0.9148091011097076,0.925390776781914,0.9169179169353621,pre_oral
F_Day_3_Control_C,0.919958294952646,0.34234257034855065,0.9552174984425895,0.9592957646849838,0.3767631784495083,0.4003596699220378,0.9909955536990817,0.3430629902699078,0.9727250855547457,0.44677941506326196,0.6999533948448359,0.9322126505615188,0.0,0.3897310594237011,0.6669275740962682,0.995151787207808,0.38220430431945557,0.8799608896678749,0.8618614406917996,0.5367598090224694,0.41425506218883085,0.3789391003431329,0.8077306941162777,0.7236417116402686,0.4917689469190952,0.3962428728223491,0.39647776257244755,post_fecal
F_Day_7_Control_A,0.9027243691996487,0.39194147402518137,0.9383803655687072,0.9413596047611628,0.4134606520711409,0.2198087548278338,0.9696309555259379,0.4047579121394178,0.946465734259715,0.27139065745837204,0.6598709636313079,0.9112193905356722,0.3897310594237011,0.0,0.6418198577749439,0.976323874458711,0.25746158343151104,0.8573112738855908,0.8416078954348473,0.32324693137151966,0.3103670317929204,0.2255130249996009,0.772299454256592,0.6804962289305113,0.5109028395039797,0.4171105526520765,0.22899873535141524,post_fecal
O_Day_3_Control_B,0.7955485885222329,0.6498266626831211,0.6867422380173195,0.655171460208305,0.6692312953395886,0.6176805497535287,0.6324469171980777,0.626668656635163,0.7486435330455844,0.7049040989433424,0.5470250213920139,0.49451146752913133,0.6669275740962682,0.6418198577749439,0.0,0.6080494511250532,0.624304345312878,0.6348261201366714,0.5635550582762524,0.717670205133989,0.6887613251775638,0.640132109037929,0.5311421733575286,0.42026830849422114,0.6374461657072357,0.7144217326321601,0.6816186942341959,post_oral
O_Day_0_Control_B,0.8089322217081134,0.9879482495438366,0.6069072336849243,0.5626268553569727,0.97783801993108,0.9811376559591984,0.5596651326578579,0.984894675939827,0.7093531788406441,0.9814449821512572,0.8366253244752822,0.5035165801378874,0.995151787207808,0.976323874458711,0.6080494511250532,0.0,0.9855325153842798,0.6753625522298827,0.576954338024075,0.9385175301788294,0.9821741438794098,0.96534612431524,0.7023608578017471,0.6494249993793123,0.9765997884677261,0.9753766994186738,0.9800954519966926,pre_oral
F_Day_7_Control_B,0.9162967391806471,0.37921084500184504,0.9471003344266526,0.9502336642290636,0.44199431918300575,0.2072130904171488,0.9835561419631077,0.3969812495185872,0.959409584258013,0.3897686035096157,0.6501992938172885,0.9225252546020629,0.38220430431945557,0.25746158343151104,0.624304345312878,0.9855325153842798,0.0,0.8704407956490007,0.8470909862441824,0.37802323254961406,0.31298102871038347,0.2923820072761175,0.7871702164798393,0.7242257262806414,0.49721668819001025,0.46785346867286626,0.28142367370050286,post_fecal
O_Day_7_Control_D,0.6571539378669992,0.8689090219447764,0.7322303377204451,0.756716529510361,0.8651880099353046,0.870668326623898,0.5669794890032347,0.8785768921758822,0.8618465767030549,0.8650763693348908,0.7736589956347635,0.6788210916098002,0.8799608896678749,0.8573112738855908,0.6348261201366714,0.6753625522298827,0.8704407956490007,0.0,0.5711597626463861,0.8385078222575107,0.8634431754771112,0.8445702666129267,0.6113720922193584,0.7193621952996344,0.8698905630039313,0.8596865283906607,0.8711868707598882,post_oral
O_Day_7_Control_B,0.7719019053429936,0.8470758943881448,0.4299625118559427,0.6951103403636122,0.852748749055614,0.8427784086080274,0.5416479478747194,0.8501356889480162,0.9019200272245657,0.8663201675665215,0.765996305400688,0.6765130267397016,0.8618614406917996,0.8416078954348473,0.5635550582762524,0.576954338024075,0.8470909862441824,0.5711597626463861,0.0,0.8507343458855097,0.8521873990839185,0.8300808197987851,0.6874359955105831,0.688880561191217,0.8463082881519065,0.8619717881538616,0.8542841040388032,post_oral
F_Day_0_Control_E,0.8945127818614357,0.4772691005289993,0.9478918427383147,0.9043046634122721,0.5457690136450531,0.2809434697389994,0.9342751672776858,0.5523138665246212,0.8998000529138322,0.36490177716919353,0.6600557450148251,0.8784627127776059,0.5367598090224694,0.32324693137151966,0.717670205133989,0.9385175301788294,0.37802323254961406,0.8385078222575107,0.8507343458855097,0.0,0.35570748739540803,0.3175651607166928,0.7845109202920032,0.706944328048578,0.5609330166586007,0.4884820166220864,0.23943274910026277,pre_fecal
F_Day_3_Control_E,0.9130728191585956,0.3932545290118003,0.9471084957468441,0.9455815289581145,0.48886750045235633,0.29800295358606027,0.9731801388261786,0.4039610745722341,0.9549830252883804,0.376629238478751,0.6188651879055759,0.9182726576942714,0.41425506218883085,0.3103670317929204,0.6887613251775638,0.9821741438794098,0.31298102871038347,0.8634431754771112,0.8521873990839185,0.35570748739540803,0.0,0.3048880473601367,0.7963203241134402,0.7193642026893314,0.3891702933449941,0.39670577577708543,0.3557944513178215,post_fecal
F_Day_0_Control_A,0.8953284328793878,0.3339361216605003,0.9436075646665303,0.9335348724624368,0.41903105215069436,0.23711458281376963,0.9562667555612904,0.39526200157077407,0.9283687476239786,0.2919880567213051,0.6543988705396748,0.9054049128772256,0.3789391003431329,0.2255130249996009,0.640132109037929,0.96534612431524,0.2923820072761175,0.8445702666129267,0.8300808197987851,0.3175651607166928,0.3048880473601367,0.0,0.7838610122837532,0.6968596734614839,0.4786846570715917,0.39147949876753574,0.2794260286042243,pre_fecal
O_Day_3_Control_A,0.7850181315764702,0.8027285538093961,0.8102751487081853,0.7274584100019957,0.7869835608366724,0.7835607894005999,0.7272937226791928,0.779724734265131,0.8274634553397656,0.8017296726321723,0.6517662753753262,0.682523304083452,0.8077306941162777,0.772299454256592,0.5311421733575286,0.7023608578017471,0.7871702164798393,0.6113720922193584,0.6874359955105831,0.7845109202920032,0.7963203241134402,0.7838610122837532,0.0,0.6421197418207635,0.7693373198988399,0.8026360446647208,0.7897067957174252,post_oral
O_Day_3_Control_C,0.8355787021753068,0.7600305815560846,0.7670172086194958,0.518310047746772,0.6887285694282279,0.7241362006301654,0.6840500920319136,0.7397801470249559,0.6959584436285846,0.7457470166001003,0.6035879180424765,0.3990751826303434,0.7236417116402686,0.6804962289305113,0.42026830849422114,0.6494249993793123,0.7242257262806414,0.7193621952996344,0.688880561191217,0.706944328048578,0.7193642026893314,0.6968596734614839,0.6421197418207635,0.0,0.7244917726064282,0.7609892823438025,0.6979109841467575,post_oral
F_Day_7_Control_E,0.9091867237678269,0.4310555948042491,0.9420463522423055,0.9417067932016658,0.49763723980169977,0.5136256155053726,0.9662885406411406,0.4187221110361181,0.9532238109224745,0.5715280563429207,0.5116993540383825,0.9148091011097076,0.4917689469190952,0.5109028395039797,0.6374461657072357,0.9765997884677261,0.49721668819001025,0.8698905630039313,0.8463082881519065,0.5609330166586007,0.3891702933449941,0.4786846570715917,0.7693373198988399,0.7244917726064282,0.0,0.5304195250725684,0.5391218156121406,post_fecal
F_Day_3_Control_D,0.9081313460963576,0.2888210578647468,0.9510684075000982,0.9488144067175296,0.4477949023292661,0.42020633156659554,0.9714079918746016,0.3689517665149852,0.9104511898203279,0.308431217120413,0.7077390586470864,0.925390776781914,0.3962428728223491,0.4171105526520765,0.7144217326321601,0.9753766994186738,0.46785346867286626,0.8596865283906607,0.8619717881538616,0.4884820166220864,0.39670577577708543,0.39147949876753574,0.8026360446647208,0.7609892823438025,0.5304195250725684,0.0,0.4801873965025726,post_fecal
F_Day_0_Control_C,0.9098862644157728,0.39662903532663774,0.9483324449174245,0.9445752822840824,0.44851210531536845,0.23169032492634473,0.9747369086338443,0.4494288459068841,0.9551245662969466,0.3136408104397384,0.6921006048482683,0.9169179169353621,0.39647776257244755,0.22899873535141524,0.6816186942341959,0.9800954519966926,0.28142367370050286,0.8711868707598882,0.8542841040388032,0.23943274910026277,0.3557944513178215,0.2794260286042243,0.7897067957174252,0.6979109841467575,0.5391218156121406,0.4801873965025726,0.0,pre_fecal
